1,Alabama,AL,4874486
2,Alaska,AK,739700
4,Arizona,AZ,7044008
5,Arkansas,AR,3001345
6,California,CA,39358497
8,Colorado,CO,5611885
9,Connecticut,CT,3573297
10,Delaware,DE,956823
11,District of Columbia,DC,694906
12,Florida,FL,20963613
13,Georgia,GA,10410330
15,Hawaii,HI,1424393
16,Idaho,ID,1717715
17,Illinois,IL,12778828
18,Indiana,IN,6658078
19,Iowa,IA,3141550
20,Kansas,KS,2908718
21,Kentucky,KY,4452268
22,Louisiana,LA,4670560
23,Maine,ME,1334612
24,Maryland,MD,6023868
25,Massachusetts,MA,6859789
26,Michigan,MI,9973114
27,Minnesota,MN,5566230
28,Mississippi,MS,2988510
29,Missouri,MO,6106670
30,Montana,MT,1052482
31,Nebraska,NE,1915947
32,Nevada,NV,2969905
33,New Hampshire,NH,1348787
34,New Jersey,NJ,8885525
35,New Mexico,NM,2091784
36,New York,NY,19589572
37,North Carolina,NC,10268233
38,North Dakota,ND,754942
39,Ohio,OH,11659650
40,Oklahoma,OK,3931316
41,Oregon,OR,4143625
42,Pennsylvania,PA,12787641
44,Rhode Island,RI,1055673
45,South Carolina,SC,5021268
46,South Dakota,SD,872868
47,Tennessee,TN,6708799
48,Texas,TX,28295273
49,Utah,UT,3101042
50,Vermont,VT,624344
51,Virginia,VA,8463587
53,Washington,WA,7423362
54,West Virginia,WV,1817004
55,Wisconsin,WI,5790186
56,Wyoming,WY,578931
