state_FIPS,state_Name,state_Abbreviations,state_Population
1,Alabama,AL,"4,874,486"
2,Alaska,AK,"739,700"
4,Arizona,AZ,"7,044,008"
5,Arkansas,AR,"3,001,345"
6,California,CA,"39,358,497"
8,Colorado,CO,"5,611,885"
9,Connecticut,CT,"3,573,297"
10,Delaware,DE,"956,823"
11,District of Columbia,DC,"694,906"
12,Florida,FL,"20,963,613"
13,Georgia,GA,"10,410,330"
15,Hawaii,HI,"1,424,393"
16,Idaho,ID,"1,717,715"
17,Illinois,IL,"12,778,828"
18,Indiana,IN,"6,658,078"
19,Iowa,IA,"3,141,550"
20,Kansas,KS,"2,908,718"
21,Kentucky,KY,"4,452,268"
22,Louisiana,LA,"4,670,560"
23,Maine,ME,"1,334,612"
24,Maryland,MD,"6,023,868"
25,Massachusetts,MA,"6,859,789"
26,Michigan,MI,"9,973,114"
27,Minnesota,MN,"5,566,230"
28,Mississippi,MS,"2,988,510"
29,Missouri,MO,"6,106,670"
30,Montana,MT,"1,052,482"
31,Nebraska,NE,"1,915,947"
32,Nevada,NV,"2,969,905"
33,New Hampshire,NH,"1,348,787"
34,New Jersey,NJ,"8,885,525"
35,New Mexico,NM,"2,091,784"
36,New York,NY,"19,589,572"
37,North Carolina,NC,"10,268,233"
38,North Dakota,ND,"754,942"
39,Ohio,OH,"11,659,650"
40,Oklahoma,OK,"3,931,316"
41,Oregon,OR,"4,143,625"
42,Pennsylvania,PA,"12,787,641"
44,Rhode Island,RI,"1,055,673"
45,South Carolina,SC,"5,021,268"
46,South Dakota,SD,"872,868"
47,Tennessee,TN,"6,708,799"
48,Texas,TX,"28,295,273"
49,Utah,UT,"3,101,042"
50,Vermont,VT,"624,344"
51,Virginia,VA,"8,463,587"
53,Washington,WA,"7,423,362"
54,West Virginia,WV,"1,817,004"
55,Wisconsin,WI,"5,790,186"
56,Wyoming,WY,"578,931"
